Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R),"Primary somatosensory area, upper limb (L)","Primary somatosensory area, upper limb (R)","Primary somatosensory area, unassigned (L)","Primary somatosensory area, unassigned (R)"
489.619575,1.29020885406671,2.9222717843425,3.47275434633135,4.51723295111759,5.58821512600878,6.38376020756756,7.01633346166704,8.79655703806552,9.88717572882213,9.93829797456011,11.4056696286904,12.2271606605817,13.3965538229972,14.7009140042652,15.3736790310854,16.163087407591,17.7779415321531,18.873129747462,19.5100795980427,20.4711271183488,21.7036007832592,22.4447369397431,23.2248858902279,24.9532076369157
490.019575,1.445163818162,2.48207314798637,3.40866687092946,4.39776651406641,5.85357869021382,6.97855452304408,7.20484545336122,8.2198059796076,10.3454102459552,9.90113040396151,10.8541300061887,12.9639011453436,12.9242511431575,14.3982508794511,14.8483802407943,16.0406274192945,17.6141888913093,18.9501170985804,19.5576425888673,19.8658951307067,21.254671615469,22.1216917611226,23.2261468214611,24.6311013380448
490.4196,1.39065462383664,2.90635176794946,3.76139088709743,4.8889262937063,5.37534712237846,6.26237969590561,7.30661170435443,8.97143331693799,10.0442533256523,10.6106035428481,11.26215849087,11.92431041736,14.0407695630481,14.8958337901075,15.5682023513574,16.9119738575403,17.845397370498,18.4226552210822,19.774965307518,20.0244104608178,21.5287690685791,22.512042080666,23.8048583941425,24.4830074982253
490.819625,1.3505395169332,2.03476909450985,2.76813129245004,3.8078042418209,5.25916253749715,6.43519425725847,7.12053061482701,8.30402441522242,9.86512480988768,10.3197580696819,11.4689124957118,11.9085270389396,12.9511525351251,13.9443731294525,15.230264769042,15.5551254435047,16.7696090594277,18.0064212199117,18.9835116946605,19.9009175823886,20.8996521229694,21.8763787355483,22.553675276383,23.6961587739634
491.219625,1.49175737839689,2.72625502715088,3.20441603238335,4.26823218321176,5.40625300976266,6.53084096214948,7.76078328415823,7.69968253602404,10.1441191662614,10.2518092937899,11.1655005915873,12.1723191588113,12.6891178265871,14.1887400790114,15.223164101547,16.0268905977747,17.0300557923584,18.8101498924541,18.8429429528374,20.5021209227612,21.7221596142859,22.74839845235,23.6831298441542,24.260437466195
491.61965,1.19763850492858,2.1904652984538,3.23984296572135,4.53064704813166,5.52074855864354,5.60694394206821,7.10220239073686,7.90363155885577,9.74309952045928,10.6454722896822,11.1568895464681,12.7024643370967,13.1272825524927,14.5482283779935,15.0768525847114,16.3359492418894,17.7120400824642,18.3407622117247,19.3597558570438,21.05158219265,21.8820468163517,22.4936799262791,23.5932811918213,24.4944527412579
492.01965,1.75893479307146,2.7739923863601,3.41029923684059,4.68771186783552,4.93811425830109,6.61741273325136,7.58419322390245,8.40471218912385,9.49670314268079,10.3960757859041,11.5700336170539,12.069184176832,13.204479228953,14.5402877705667,15.8878647915786,17.1859754292004,17.5705080294355,18.1251242736807,19.5505965024897,20.4195719326766,21.4739424799899,21.9229056673306,23.3188186818504,25.0397244966109
492.419675,1.43702995074302,2.8586388626275,3.62836170645684,4.6533460866178,5.40569453691605,6.62234765339988,7.09540182700986,7.9761625086925,9.72056717836513,9.8282621600292,10.9555312332391,12.2130092803477,12.8384547182416,14.4228631899646,15.3029369135575,17.1922950654264,17.9078655388437,18.7714838393223,20.0528073688335,19.7329027132896,21.6316877517684,22.8002059212246,23.6929906508631,24.517365237627
492.8197,1.76739515291582,3.31318366115336,3.4567559035389,4.57575723492722,5.40836095559968,6.42550242937974,6.96628949508324,8.18087122386796,10.4025735793989,10.2979780922781,10.7354094924959,12.0338222677639,13.627091465126,14.3808210887288,15.1542521216686,16.4812483021132,18.3684909402832,18.223435846194,19.5574505577841,20.5156773696248,21.5565366285539,22.2443125901802,23.5617269553299,24.3923503205722
493.2197,0.758618876148043,2.01994092336129,3.18856844716544,3.9557709031202,5.03508629812269,7.38831169311276,7.32380755606854,7.8626761542134,10.0778557476927,9.8265090052163,10.3478311179996,12.0830943493597,12.8813380143858,14.2640918402084,15.2314287655094,15.6142087397282,17.0380819776953,18.620368059818,18.9825828869455,20.2435733580848,21.1526453198221,22.0647033832744,22.889428180861,24.0754422366088
